dog_whistle_root,n_canonical,canonical_forms,n_occurrences,ingroup,definition
Deus Vult,1,Deus Vult,27,Islamophobic,Islamophobic signal referring to battle cry by Christian crusaders
dindu,2,dindu | dindus,82,racist,Black person
dindu nuffin,1,dindu nuffin,24,racist,Black person
dinosaur emojis,2,🦕 | 🦖,2,transphobic,"Transphobic signal reclaiming MP David Lammy's denouncement of transphobes as ""dinosaurs"""
Dred Scott,2,Dred Scott | Dred Scott decision,10,conservative,Signal opposition to abortion by equating it to slavery
dual citizen,3,dual citizen | dual citizens | dual citizenship,35,antisemitic,Jewish person
dual loyalty,2,dual loyalties | dual loyalty,24,antisemitic,Jews are disloyal to their country
Durden,1,Durden,2,transphobic,transgender person
early life,2,early life | early life section,15,antisemitic,the person being talked about is Jewish
economic anxiety,1,economic anxiety,8,racist,Anxiety about non-white people becoming equal economically and socially
election integrity,2,election integrity | rigged election,28,racist,Voter suppression that targets people of color
entitlement programs,3,entitlement | entitlement programs | entitlements,42,racist,"People who receive aid from government social aid programs, primarily minorities, are lazy and undeserving"
entitlement spending,2,entitlement spending | government spending,20,racist,"Government social aid programs, perceived to primarily help minorities, are destroying the country's economy"
erasing women,2,erasing women | erasure of women,23,transphobic,Trans people are threatening cis women's rights
every single time,1,EST,3,white supremacist,Jewish people cause all the problems
FAFO,1,FAFO,8,white supremacist,"White supremacist signal originating from ""fuck around and find out"""
family values,2,family values | traditional family values,55,homophobic,Opposition to gay marriage
fatherless,5,fatherless | fatherless child | fatherless children | fatherless home | fatherless homes,59,racist,Black men are irresponsible
Federal Reserve,2,Federal Reserve | the Fed,24,antisemitic,Jewish people control all the money
fellow white people,4,(((fellow whites))) | as a white person | fellow white people | fellow whites,47,antisemitic,Jewish people are masquerading as white people in order to tell them what to do
food stamps,2,food stamp | food stamps,18,racist,Government assistance for minorities
forced busing,2,forced busing | forced bussing,26,racist,Opposition to racial integration
forced diversity,1,forced diversity,54,racist,Diversity is making things worse
free helicopter rides,1,helicopter rides,29,white supremacist,Let's kill our political opponents
freedom of association,1,freedom of association,14,racist,Support for racial segregation
fren,3,fren | fren world | frens,39,white supremacist,Self-referential term for white supremacists on the internet
frog emoji,2,frog emoji | 🐸,28,white supremacist,"White supremacist signal, representing Pepe the Frog"
gangbanger,4,gang banger | gang bangers | gangbanger | gangbangers,43,racist,Black man
gender abolition,2,abolish gender | gender abolition,16,transphobic,Only sex assigned at birth matters
gender abolitionist,2,gender abolitionist | gender abolitionists,26,transphobic,Transphobic signal based on belief that only sex assigned at birth matters
gender critical,3,GC | gender crit | gender-critical feminism,64,transphobic,Self-referential term for transphobic people
gender fandom,1,gender fandom,16,transphobic,Trans people are ridiculous
gender ideology,3,gender identity ideology | gender ideology | radical gender ideology,54,transphobic,Trans people are threatening our way of life
gender socialization,10,female socialisation | female socialization | gender socialisation | gender socialization | male socialisation | male socialization | socialised as female | socialised as male | socialized as female | socialized as male,71,transphobic,"Trans men will always be women, and trans women will always be men"
genderfree,2,genderfree | genderless,15,transphobic,Self-referential term for transphobic people
genderist,2,genderist | genderists,35,transphobic,Trans people and allies
George Soros,2,George Soros | Soros,104,antisemitic,Jewish person who controls the world
ghetto,3,ghetto | ghettoes | ghettos,56,racist,Low-income Black neighborhood
gibsmedat,3,gib me dat | gibs | gibsmedat,112,racist,Black people are entitled and depend on government benefits
global elite,3,global elite | global elites | international elite,44,antisemitic,Jewish people
globalism,1,globalism,17,antisemitic,Jewish interests
globalist,2,globalist | globalists,165,antisemitic,Jewish people
Goody,1,Goody,3,transphobic,Transphobic signal insinuating that cis women are being persecuted
Google,2,Google | Googles,9,racist,Black person
government handout,4,government handout | government handouts | handout | handouts,67,racist,Any money that the government gives to support vulnerable people
goy,2,goy | goyim,52,antisemitic,a non-Jew
groomers,2,groomer | groomers,108,anti-LGBTQ,LGBTQ people are predators
grooming,2,anti-grooming | grooming,22,anti-LGBTQ,LGBTQ people are predators
hard-working Americans,3,hard-working American | hardworking American | hardworking Americans,54,racist,White Americans
he wuz a good boy,1,he was a good boy,30,racist,Black people are unintelligent and/or criminals
health freedom,2,health freedom | medical freedom,46,anti-vax,Anti-vax
healthy tissue,1,healthy tissue,16,anti-vax,gender-confirming surgery is bad
Hollywood elite,5,Hollywood | Hollywood elite | Hollywood elites | Hollywood liberals | Hollywood moguls,78,antisemitic,Jewish people who control the media
Holocauster,1,Holocauster,3,antisemitic,Jewish person
hygienic,1,hygienic,6,transphobic,"Term for cis people, implying that trans people are unhygienic"
identify as,1,identify as,59,transphobic,Trans people are ridiculous
identitarianism,3,identitarian | identitarianism | identitarians,26,white supremacist,Nazism
illegal aliens,4,criminal alien | criminal aliens | criminal illegal alien | illegal alien,202,anti-Latino,Dangerous undocumented brown people
illegal immigrant,3,illegal immigrant | illegal immigrants | illegals,175,anti-Latino,"Latino, especially Mexican, immigrants regardless of documentation"
Illuminati,1,Illuminati,7,antisemitic,Jewish people who control the world
implicit bias,2,implicit bias | implicit biases,4,liberal,Racism
inner city,4,inner cities | inner city | inner-city | urban,85,racist,African American neighborhoods
institution of marriage,2,institution of marriage | traditional marriage,34,homophobic,Opposition to gay marriage
intact,4,intact | intact female | intact male | intact man,32,transphobic,Trans people who haven't had bottom surgery aren't real trans people
international bankers,2,international banker | international banks,56,antisemitic,Jewish people who control all the money
Islamic extremism,2,Islamic extremism | extremism,23,Islamophobic,Muslim people as a whole are a threat
Islamic extremists,3,Islamic extremist | extremist | extremists,45,Islamophobic,Muslim people as a whole are a threat
Islamic terrorism,2,Islamic terrorism | terrorism,38,Islamophobic,Muslim people as a whole are a threat
Islamic terrorists,3,Islamic terrorist | terrorist | terrorists,102,Islamophobic,Muslim people as a whole are a threat
Islamists,2,Islamist | Islamists,69,Islamophobic,Muslim people as a whole are a threat
Israel Lobby,1,Israel Lobby,16,antisemitic,Jews control US politics
it's okay to be white,4,#itsokaytobewhite | #itsoktobewhite | it's ok to be white | it's okay to be white,25,white supremacist,White supremacist slogan
job creators,3,job creation | job creator | job creators,30,conservative,Wealthy people
jogger,2,jogger | joggers,35,racist,Black person
Judas,3,30 pieces of silver | Judas | thirty pieces of silver,40,antisemitic,Jews are not to be trusted
Judeo-Christian,3,Judeo-Christian | Judeo-Christian values | Judeo-Christianity,29,Islamophobic,Muslims threaten Christian society
judicial activism,5,activist judge | activist judges | judicial activism | judicial activist | judicial activists,168,conservative,Judges ruling in liberals' favor
Jwoke,2,JQ | Jwoke,48,antisemitic,Antisemitic self-referential signal
Kalergi Plan,1,Kalergi Plan,39,antisemitic,Jewish people are conspiring to rule the world
Kek,2,Kek | Kekistan,60,white supremacist,"White supremacist signal meaning ""lol"" that became an alt-right 4chan meme"
Khazars,2,Khazar | Khazars,34,antisemitic,Jewish people
law and order,1,law and order,23,racist,Black and Latino people are lawless and commit crimes
lesbian erasure,2,erasing lesbians | lesbian erasure,43,transphobic,Trans people are threatening cis lesbians
lesbophobia,1,lesbophobia,2,transphobic,Trans people are threatening cis lesbians
Let's Go Brandon,1,Let's Go Brandon,12,conservative,Conservative signal that originally meant Fuck Joe Biden
LGB rights,3,Drop the T | LGB | LGB rights,64,transphobic,"Lesbian, gay, and bisexual, but not trans, rights"
lifelong bachelor,7,confirmed bachelor | has no children | lifelong bachelor | limp-wristed | never married | never-married | single,47,homophobic,Gay person
lizard emoji,1,🦎,2,transphobic,Self-referential signal for detransitioners that are now anti-trans
loxism,1,loxism,10,antisemitic,Jews hate non-Jews
MAGA,2,MAGA | Make America Great Again,87,white supremacist,Make America White Again
magapede,2,magapede | magapedes,12,white supremacist,Trump supporters who are not antisemitic or racist enough
majority-minorit y,2,majority minority | majority-minority,27,racist,White hegemony in America is threatened
male violence,1,male violence,10,transphobic,Trans women are violent
male-friendly content,1,male-friendly,10,misogynistic,"Rape jokes and threats about domestic violence, other content that features abuse of women"
mass immigration,2,mass immigration | mass migration,53,xenophobic,Non-white immigration
merit-based immigration policy,3,merit-based immigration | merit-based immigration policy | points-based immigration,20,xenophobic,stop non-white immigration
middle class,3,middle class | middle class Americans | middle-class Americans,73,racist,White middle class
milk emoji,2,milk emoji | 🥛,6,white supremacist,White supremacist signal
mixed sex,2,mixed sex | mixed-sex,10,transphobic,Environment that accommodates both trans and cis women
multiculturalism,4,multi-kulti | multiCULTi | multicultural | multiculturalism,125,Islamophobic,Too many Muslims
neoliberal,5,neolib | neoliberal | neoliberalism | neoliberals | neolibs,73,liberal,Non-leftist liberals
New World Order,2,NWO | New World Order,53,antisemitic,Jewish people control the world
New York elite,2,Manhattan elite | New York elite,2,antisemitic,Jewish people
New York intellectuals,1,New York intellectuals,5,antisemitic,Jewish people
New York values,1,New York values,2,antisemitic,Jewishness
nibba,2,nibba | nibbas,13,racist,N-word
NPC,4,NPC | NPCs | Wojak | Wojaks,107,anti-liberal,Liberal person
octopus,1,octopus,11,antisemitic,Jewish people control the world
OK sign emoji,2,OK sign | 👌,12,white supremacist,White supremacist signal
open borders for Israel,1,open borders for Israel,12,antisemitic,Jews are pushing for immigration to ruin other countries except for Israel
our guy,2,/our guy/ | our guy,57,white supremacist,"Someone who holds alt-right or ""red-pilled"" political beliefs, often referring to Trump"
out of wedlock,1,out of wedlock,11,racist,Black women are irresponsible and their children are less valuable to society
overpopulation,2,overpopulating the planet | overpopulation,11,racist,There are too many non-white people in the world
oy vey,1,oy vey,28,antisemitic,Antisemitic signal that mocks Jewish people and language
Pajeet,2,Pajeet | Pajeets,54,anti-Asian,Indian person
Pepe the Frog,3,Feels Good Man | Pepe | Pepe the Frog,50,white supremacist,White supremacist signal
personal responsibility,2,individual responsibility | personal responsibility,14,racist,Opposition to public spending perceived to benefit racial minorities over white people
physical removal,1,physical removal,14,white supremacist,Kill political opponents or non-white people
pilpul,1,pilpul,15,antisemitic,"Jews are bad, and any counterargument is nonsense"
pine tree emoji,1,🌲,2,white supremacist,White supremacist signal connected to ecofascism
poisoning the well,1,poisoning the well,1,antisemitic,Jewish people infect non-Jews with diseases and/or harmful ideas
political correctness,2,political correctness | politically correct,79,racist,We should let people be openly racist
power level,1,power level,20,white supremacist,How deeply someone has fallen into fascist ideology
preemptive strike,2,pre-emptive strike | preemptive strike,9,conservative,Unprovoked attack
"prefix ""super""",2,superlesbian | superstraight,12,transphobic,Trans-exclusionary sexual preference
pro-family,1,pro-family,4,homophobic,Anti-gay
property rights,2,property rights | protecting property rights,9,racist,Right of property owners to discriminate racially
protecting women and girls,3,protect women and girls | protecting women and girls | protecting women's spaces,9,transphobic,Trans women are predatory men
public school,2,public school | public schools,41,racist,Dangerous place with nonwhite kids that wastes tax dollars
pulling strings,3,pull the strings | pulling strings | pulling the strings,16,antisemitic,Jewish people control the world
puppet masters,2,puppet master | puppet masters,72,antisemitic,Jewish people control the world
quotas,4,diversity quotas | quota | quotas | racial quotas,102,racist,Opposition to efforts to achieve gender or racial parity
race realism,7,HBD | human biodiversity | race realism | race realist | race realists | racial realism | scientific racism,136,racist,White people are better than other races
radical Islam,1,radical Islam,36,Islamophobic,Muslim people as a whole are a threat
RaHoWa,1,RaHoWa,15,white supremacist,Racial holy war
Reagan,2,Reagan | Reagans,18,white supremacist,Conservative person
"references to cities with large racial minority populations being overrun by crime, drugs, rodents",4,Baltimore | Chicago | Cleveland | Detroit,91,racist,Minorities are dirty and criminals
religious freedom,5,God-given liberties | freedom of religion | religious freedom | religious liberties | religious liberty,68,homophobic,Discrimination against LGBTQ people
Remove Kebab,4,Remove Kebab | Serbia Strong | kebab removal | removing kebab,114,Islamophobic,Kill Muslims
right to know,1,right to know,1,anti-GMO,Eliminating genetic engineering in the food industry
right to work,4,economic freedom | freedom to work | right to work | right-to-work laws,33,anti-GMO,Union-busting
rootless cosmopolitan,2,rootless cosmopolitan | rootless cosmopolitans,57,antisemitic,Jewish person
Rothschilds,3,Rothschild | Rothschild family | Rothschilds,83,antisemitic,Jewish people control all the money
RWDS,1,RWDS,16,white supremacist,"Right Wing Death Squads
/ kill all opponents"
safeguarding,4,child safeguarding | safeguard | safeguarding | safeguarding children,20,transphobic,"Young people should not have access to
gender-affirming care"
save women's sports,1,protect women's sports,2,transphobic,Trans women are a threat to cis women
school choice,5,education reform | educational choice | parental choice | school choice | school vouchers,32,racist,Racial segregation in schools
secure the border,4,secure our border | secure the border | securing our border | securing the border,43,anti-Latino,Keep out Latinos
sex is real,2,biological sex is real | sex is real,35,transphobic,"Gender identities are not real, and trans people are erasing realities of biological sex"
sex not gender,1,sex not gender,27,transphobic,Trans people aren't real
sex-based rights,1,sex-based rights,8,transphobic,trans people threaten women's rights
Sharia law,4,Sharia | Sharia law | Shariah | Shariah law,99,Islamophobic,Muslims are violent and present a threat to Americans
shekels,2,shekel | shekels,62,antisemitic,Money with the connotation that Jews are greedy
Shlomo,2,Schlomo | Shlomo,22,antisemitic,Jewish person
shoah,3,shoah | shoah'd | shoahed,39,antisemitic,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
silent majority,1,silent majority,42,racist,Conservative white Americans who are threatened by racial minorities
single parent,4,single mom | single mother | single parent | single-parent household,103,racist,"Blaming Black parents (especially women) for poverty, crime, and dependence on public assistance"
Skittle,2,Skittle | Skittles,12,Islamophobic,Muslim person
Skype,2,Skype | Skypes,19,antisemitic,Jewish person
snowflake,2,snowflake | snowflakes,132,anti-liberal,liberals
social justice warrior,4,SJW | SJWs | social justice warrior | social justice warriors,720,anti-liberal,liberals
Sonnenrad,3,Black Sun | Sonnenrad | Sunwheel,35,white supremacist,White supremacist signal
soy boy,5,soy | soy boy | soy boys | soyboi | soybois,232,anti-liberal,liberal or establishment Republican men
special interests,3,global special interests | special interest | special interests,6,antisemitic,Jewish interests
SPQR,1,SPQR,7,white supremacist,White supremacist signal based on phrase associated with Roman Empire
states' rights,1,states' rights,7,racist,Racial segregation
steroids,1,steroids,5,transphobic,Trans people are drug abusers
strapping young buck,2,buck | young buck,23,racist,young Black man
string puller,3,string puller | string pullers | string-pullers,26,antisemitic,Jewish people who control the world
superpredators,4,super predator | super predators | superpredator | superpredators,55,racist,Black men are threatening
surgical wound,2,surgical wound | surgical wounds,38,transphobic,Trans woman's neovagina
SWPL,1,SWPL,10,anti-liberal,Politically progressive white person
take back,3,take back | take back our country | take our country back,55,white supremacist,Give white Americans back full social and political control over the country
the goyim know,3,da goyim know | shut it down | the goyim know,29,antisemitic,Jewish people control the world
thin blue line,2,thin blue line | thin blue line flag,12,racist,Protect white people from non-white people
Three Percenters,3,3%ers | III%ers | Three Percenters,31,white supremacist,Far-right militia movement
three strikes laws,3,three strikes | three strikes law | three strikes policy,27,racist,Mass incarceration of Black people
thug,2,thug | thugs,53,racist,Black men are criminals or violent
tiny minority of men,1,tiny minority of men,4,transphobic,Trans women
tough on crime,1,tough on crime,12,racist,Mass incarceration of Black and Latinx people
Trans Identified Female,5,TIF | TIFs | Trans Identified Female | Trans Identified Females | trans-identified female,63,transphobic,Trans man
Trans Identified Male,5,TIM | TIMs | Trans Identified Male | Trans Identified Males | trans-identified male,109,transphobic,Trans woman
TRAs,6,TRA | TRAs | trans activist | trans rights activist | trans rights activists | trans-rights activist,90,transphobic,person who supports the transgender rights movement
Trilateral Commission,1,Trilateral Commission,2,antisemitic,Institution by which Jewish people control the world
triple parentheses,5,((())) | (((echo))) | echo | triple brackets | triple parentheses,52,antisemitic,Symbol used to identify and harass Jewish people online
troon,2,troon | troons,94,transphobic,Trans person
two lightning bolt emojis,1,⚡ ⚡,1,white supremacist,White supremacist symbol representing the insignia of the Nazi SS
uterus-haver,3,uterus haver | uterus-havers | vagina haver,21,transphobic,"Either trans women are not women because they don't have a uterus, or that trans people are trying to reduce cis women to reproductive organs"
vaccine safety,1,vaccine safety,33,anti-vax,Opposition to vaccines
vegan cat,1,vegan cat,5,transphobic,Trans children were brainwashed by their parents
Vinland,1,Vinland,6,white supremacist,White supremacist signal referencing short-lived Viking settlement in North America
voter fraud,3,fraudulent voting | voter fraud | voting fraud,77,racist,Disenfranchisement of minority voters
war on Christmas,1,war on Christmas,2,conservative,America is a country for white Christians and only white Christians
war on crime,1,war on crime,2,racist,"mass incarceration and disenfranchisement of racial minorities, particularly Black men"
war on drugs,1,war on drugs,15,racist,"Harsh punishments for Black people who use drugs, but not for white people"
war on terror,2,war on terror | war on terrorism,8,Islamophobic,War on Arab and Muslim people
we wuz kangz,3,we wuz kangs | we wuz kangz | we wuz kings,37,racist,mocks claims of black nationalism by using mock AAVE
welfare,2,welfare | welfare reform,75,racist,racial minorities receive government aid that they don't deserve
welfare cheats,2,welfare cheat | welfare cheats,17,racist,Black people who are lazy and take advantage of government social aid
welfare queen,3,the welfare queen | welfare queen | welfare queens,52,racist,Black woman who are lazy and take advantage of government social aid
White Lives Matter,2,WLM | White Lives Matter,32,racist,Black lives don't matter
Willie Horton,1,Willie Horton,10,racist,Convicted murderer whose imagery is used to link blackness with criminality and threat
windmill,2,windmill | windmill of friendship,5,white supremacist,a swastika (aka I am a white supremacist)
womanface,1,womanface,8,transphobic,trans people treat womanhood as a costume
womyn,2,womxn | womyn,27,transphobic,cis women
working class,6,working class | working class communities | working class families | working families | working-class | working-class communities,93,racist,white working class
XX,1,XX,13,transphobic,I am a transphobic cis woman
Yahoo,2,Yahoo | Yahoos,3,anti-Latino,Hispanic person
YKW,2,YKW | you know who,11,antisemitic,Jewish person
YWNBAW,1,YWNBAW,8,transphobic,trans women are not women
Zionist,4,Zio | Zionist | Zionists | Zios,88,antisemitic,Jewish people
Zionist Occupation Government,3,ZOG | Zionist Occupation Government | zog,87,antisemitic,Jewish people control the world
